2025-09-03 20:46:05 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:46:07 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:46:21 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:46:21 | training.main        | INFO     | 🏆 NEW RECORD! Game 92: {'game': 92, 'score': 3, 'record': 3, 'epsilon': '10.000', 'moves': 2, 'duration': '14.30s'}
2025-09-03 20:46:23 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:46:28 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:46:32 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:46:41 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:46:41 | training.main        | INFO     | 🏆 NEW RECORD! Game 96: {'game': 96, 'score': 3, 'record': 3, 'epsilon': '10.000', 'moves': 2, 'duration': '8.69s'}
2025-09-03 20:46:49 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:46:56 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:02 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:02 | training.main        | INFO     | 🏆 NEW RECORD! Game 99: {'game': 99, 'score': 3, 'record': 3, 'epsilon': '10.000', 'moves': 2, 'duration': '5.29s'}
2025-09-03 20:47:03 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:03 | training.main        | INFO     | 📊 Training Statistics:
2025-09-03 20:47:03 | training.main        | INFO     |    Total Games: 100
2025-09-03 20:47:03 | training.main        | INFO     |    Average Score: 0.58
2025-09-03 20:47:03 | training.main        | INFO     |    Best Score: 3
2025-09-03 20:47:03 | training.main        | INFO     |    Training Time: 418.57s
2025-09-03 20:47:07 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:20 | model                | INFO     | Model saved successfully: ./model/model.pth
2025-09-03 20:47:20 | training.main        | INFO     | 💾 Model saved: ./model/model.pth (Score: 7)
2025-09-03 20:47:20 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:20 | training.main        | INFO     | 🏆 NEW RECORD! Game 102: {'game': 102, 'score': 7, 'record': 7, 'epsilon': '10.000', 'moves': 2, 'duration': '12.00s'}
2025-09-03 20:47:24 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:27 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:34 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:45 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:49 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:47:56 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:48:04 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
